 -0.17239069938659668      -0.36793065071105957       0.18989872932434082        8.2746903573816262       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.36930394172668457       0.11118793487548828      -0.26049208641052246        8.4710973580935907       -7.0619729562370545E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  -8.7113618850708008E-002 -0.11551308631896973      -0.42748403549194336        8.9640511736879027       -7.0619729562370531E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.27747511863708496      -0.47356200218200684      -0.15421485900878906        7.7960258446271355       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.11305069923400879        4.6519041061401367E-002 -0.15313434600830078        9.1944184673773144      -0.23912724260770787      -0.27649933559480050     	              * E(2) is                  -0.239127242608 a.u.  *
  0.27191019058227539       -4.3644905090332031E-003 -0.35049772262573242        8.8430208717978722       -7.0619729562370517E-002  -9.0783259873375904E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.18775081634521484      -0.46861219406127930        3.8008451461791992E-002   8.7830994730768630       -7.0619729562370531E-002  -9.0783259873375974E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.18803906440734863      -0.36956357955932617      -0.25172328948974609        7.6584803117732969       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.28951644897460938       -9.6840381622314453E-002  0.40599441528320312        8.4251434329166024       -7.0619729562370531E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.44995355606079102      -0.36741280555725098      -0.10645079612731934        7.9394434800118132       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.11587452888488770      -0.49923610687255859       0.34066915512084961        7.9859534327656911       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.37175822257995605      -0.13711190223693848      -0.43910431861877441        7.5792848717041137       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -2.2948741912841797E-002  0.30429410934448242       0.27251076698303223        8.9259743924317263       -7.0619729562370545E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
   8.8912725448608398E-002  0.35798120498657227      -0.40848016738891602        8.1737047543996049       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.32597708702087402       0.30573725700378418      -0.47339105606079102        6.4686206618552218       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.28026247024536133      -0.36961412429809570      -0.10069656372070312        8.4735042949622361       -7.0619729562370545E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.40359020233154297      -0.13977074623107910      -0.12571620941162109        8.7835395604380864       -7.0619729562370531E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
   9.1200828552246094E-002 -0.18410897254943848      -0.31823921203613281        8.8375090125049596       -7.0619729562370545E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.35509848594665527       0.14384436607360840      -0.40591096878051758        7.5553730646713406       -1.4496950303574830E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.14311599731445312      -0.34748840332031250      -0.23598909378051758        8.2541244983782214       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.26721024513244629       -2.9087066650390625E-005 -0.48566150665283203        8.8162040313513010       -7.0619729562370517E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.48832559585571289       0.28953361511230469       0.19538855552673340        7.3776925959684307       -1.4496950303574832E-003  -1.7701620084667983E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.10453414916992188        9.7171783447265625E-002  0.16986298561096191        9.3926705274373177      -0.23912724260770787      -0.27649933559480050     	              * E(2) is                  -0.239127242608 a.u.  *
 -0.11057305335998535      -0.39881610870361328        9.9688768386840820E-002   8.9887008017086210       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.47033238410949707      -0.12326049804687500       0.36092948913574219        7.7851946845477906       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.14496707916259766       0.46496796607971191      -0.28064751625061035        7.8603215567765785       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.16054558753967285       0.29290366172790527      -0.16649985313415527        8.9796815400436145       -7.0619729562370545E-002  -9.0783259873375904E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.36162829399108887       0.11659789085388184      -0.33727931976318359        7.9794258688087405       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.34891581535339355       0.22853779792785645        3.6692857742309570E-002   8.7591462596062755       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.30182886123657227       0.16468644142150879      -0.11424612998962402        8.9540372301431361       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.13208985328674316       -3.1743049621582031E-002  0.49602437019348145        9.1182017528299539       -7.0619729562370517E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.31825375556945801       0.11070466041564941      -0.38666605949401855        8.0677120746733380       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.30669283866882324      -0.41078543663024902       -7.0011138916015625E-002   8.4877807159666716       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.32549929618835449      -0.32944083213806152        9.1457366943359375E-002   8.4179725542420059       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.12547349929809570      -0.16673588752746582      -0.32983994483947754        8.8199467146143746       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.38033795356750488       0.34060287475585938      -0.48612356185913086        6.2078115124477646       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.27661442756652832       -5.8510303497314453E-002 -0.38063263893127441        8.5506208836901898       -7.0619729562370545E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.29157209396362305      -0.45019388198852539      -0.40581154823303223        6.3245664348559254       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.47359490394592285       0.29347825050354004       0.49134159088134766        6.4062763644373772       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -2.1068334579467773E-002  -9.2944145202636719E-002 -0.11203408241271973        8.8875634224144129      -0.23912724260770787      -0.27649933559480050     	              * E(2) is                  -0.239127242608 a.u.  *
   4.5856475830078125E-002 -0.28906393051147461      -0.29531860351562500        8.8743351734472853       -7.0619729562370531E-002  -9.0783259873375904E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.41597199440002441      -0.23965787887573242        7.0352554321289062E-002   8.5147647276051153       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.41705965995788574      -0.47619843482971191      -0.46432352066040039        6.0302560067883322       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.11557459831237793       0.46335077285766602      -0.46198797225952148        7.7990926599888413       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.37158608436584473       0.25107550621032715      -0.17257618904113770        7.7989537121006629       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.48445367813110352      -0.20964217185974121      -0.45344448089599609        6.9089134561821188       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -4.0544986724853516E-002 -0.43656754493713379      -0.38678288459777832        8.7566115554815944       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.34195327758789062       0.21134114265441895        1.4299631118774414E-002   8.9179900340561247       -7.0619729562370531E-002  -9.0783259873375960E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.33773112297058105       0.25051212310791016       0.35836243629455566        6.7846895704691237       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -2.0256042480468750E-003  -4.4123411178588867E-002  0.42114233970642090        9.7339761187133256      -0.14967530103360510      -0.18217811521589042     	              * E(2) is                  -0.149675301034 a.u.  *
  0.14104795455932617      -0.40443229675292969      -0.29158377647399902        7.8306703281828449       -1.4496950303574832E-003  -1.7701620084667985E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.35193204879760742       -7.5709342956542969E-002 -0.44295597076416016        8.3538118802332271       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.24219274520874023      -0.46272206306457520        3.3823728561401367E-002   8.6504621704544924       -7.0619729562370531E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.47802400588989258       0.15132927894592285       0.39482760429382324        7.4357496151879809       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.12955188751220703      -0.37834358215332031       0.17989301681518555        8.6312262769889685       -7.0619729562370545E-002  -9.0783259873375946E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.46349620819091797       -1.6317844390869141E-002 -0.25345921516418457        8.7113123293233272       -7.0619729562370517E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.11381340026855469      -0.13420128822326660       0.48233246803283691        8.8654247682289196       -7.0619729562370531E-002  -9.0783259873375960E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.43454718589782715      -0.43427896499633789        7.3693990707397461E-002   8.2698524816899806       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.42341113090515137      -0.26903748512268066       0.28965020179748535        6.7826836287277592       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.15286517143249512       0.20627164840698242      -0.18887805938720703        9.4550349922416999       -7.0619729562370545E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.46969127655029297       -9.8522186279296875E-002  0.14015388488769531        8.8316329466889769       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.43021607398986816       0.36126232147216797      -0.26130771636962891        6.5581065693411178       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.20521211624145508        7.4386596679687500E-005  0.25203514099121094        9.3115907040955612      -0.14967530103360507      -0.18217811521589039     	              * E(2) is                  -0.149675301034 a.u.  *
  -4.5035123825073242E-002   9.4825983047485352E-002 -0.25717043876647949        9.3139245082711852      -0.14967530103360499      -0.18217811521589039     	              * E(2) is                  -0.149675301034 a.u.  *
 -0.26204419136047363      -0.17572855949401855      -0.46695423126220703        7.6680201509922297       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -9.8622083663940430E-002  0.46146821975708008      -0.10193252563476562        9.0507902030665939       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.17990064620971680       0.41324591636657715       0.42769217491149902        7.0993427773511533       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.22523975372314453      -0.39474153518676758      -0.41702103614807129        6.7432262188978980       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.12944173812866211      -0.47111368179321289       -6.1471462249755859E-003   9.1991950114485697       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.31278967857360840       -5.5007219314575195E-002  0.49481892585754395        8.6118453449743235       -7.0619729562370531E-002  -9.0783259873375932E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.42190575599670410       -2.6101350784301758E-002  0.31755924224853516        8.6457344633607320       -7.0619729562370517E-002  -9.0783259873375904E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.22158741950988770       0.22134613990783691       0.16687202453613281        8.7873349256126865       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.37888884544372559        1.7132043838500977E-002  -5.9661388397216797E-002   9.5106764853676822      -0.14967530103360499      -0.18217811521589042     	              * E(2) is                  -0.149675301034 a.u.  *
  0.27469563484191895      -0.18865919113159180       0.20677709579467773        8.3508131102404555       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.30360913276672363      -0.23732352256774902       0.30385565757751465        7.2031973513712986       -1.4496950303574832E-003  -1.7701620084667983E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -9.7894430160522461E-002 -0.30769324302673340      -0.39814281463623047        8.2493185418570754       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.41628217697143555       0.45586252212524414      -0.31839537620544434        6.2015392801346101       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.27026486396789551      -0.33872604370117188        3.3153533935546875E-002   8.7492732961348985       -7.0619729562370517E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
  0.21148014068603516       0.34995436668395996      -0.31400203704833984        7.1792145540462338       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.43076395988464355       0.15183281898498535      -0.14429593086242676        8.7050655671491377       -7.0619729562370531E-002  -9.0783259873375960E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.17831063270568848       0.13413763046264648       0.45396184921264648        8.6011685481158189       -7.0619729562370531E-002  -9.0783259873375918E-002	              * E(2) is                  -0.070619729562 a.u.  *
 -0.26085281372070312      -0.15187668800354004       0.41092562675476074        7.8852806132845332       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.42987251281738281      -0.13085412979125977      -0.26457405090332031        8.0780945232741281       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
  0.30687093734741211      -0.41867852210998535       0.27331161499023438        6.6771855582806134       -1.4496950303574832E-003  -1.7701620084667978E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.44816684722900391      -0.33885502815246582      -0.13324046134948730        7.7141444094421763       -1.4496950303574832E-003  -1.7701620084667976E-003	              * E(2) is                  -0.001449695030 a.u.  *
 -0.36904239654541016      -0.49246644973754883       0.11893057823181152        7.8578703905553793       -1.4496950303574832E-003  -1.7701620084667980E-003	              * E(2) is                  -0.001449695030 a.u.  *
  -3.8809776306152343E-004  -4.0601496696472165E-002  -5.7340130805969239E-002   8.1666043088284148       -4.5042716261285871E-002  -5.6417935979689797E-002 averages	              * E(2) is                  -0.059603044938 a.u.  *
   8.5921607758995155E-002   8.9837253423761462E-002   9.2697034657544461E-002   67.501429469079596        4.9312421449846907E-003   7.4160386122393033E-003 squared averages	
   2.9460032356665399E-002   2.9846200355392316E-002   3.0051999388383158E-002   9.0341860947414920E-002   5.4145295147930896E-003   6.5389702893312524E-003 errors	
 -0.77290351880024522      -0.45917631658830582      -0.10390201488591883        8.5355972359079657E-002  0.36152826497250862       0.52642409692519176       0.74907144296072514        1.8162050561796201        1.9611073613808501        2.0974582648788411        2.2950299194162165        2.4390557553382948        2.5930520748865105        2.9024432020878423        3.2006375422247357        3.3814486421451853        3.9116635222867000        4.1601949249127843        4.5440657455462903      eigenvalue averages	
   35.280000000000001        27.600000000000001        18.000000000000000        0.0000000000000000        7.8799999999999999      conn	
           1   446.60000348444441     	
           2   1263.9877510400001     	
           3   1263.9877510400001     	
           4   1263.9877510400001     	
           5   1263.9877510400001     	
           6   446.60000348444441     	
           7   446.60000348444441     	
           8   446.60000348444441     	
           9   1263.9877510400001     	
          10   1263.9877510400001     	
          11   7240.1361030400003     	
          12   446.60000348444441     	
          13   446.60000348444441     	
          14   446.60000348444441     	
          15   1263.9877510400001     	
          16   446.60000348444441     	
          17   446.60000348444441     	
          18   1263.9877510400001     	
          19   24760.543783040001     	
          20   446.60000348444441     	
          21   446.60000348444441     	
          22   1263.9877510400001     	
          23   446.60000348444441     	
          24   1263.9877510400001     	
          25   1263.9877510400001     	
          26   1263.9877510400001     	
          27   446.60000348444441     	
          28   1263.9877510400001     	
          29   1263.9877510400001     	
          30   446.60000348444441     	
          31   446.60000348444441     	
          32   446.60000348444441     	
          33   1263.9877510400001     	
          34   1263.9877510400001     	
          35   446.60000348444441     	
          36   1263.9877510400001     	
          37   24760.543783040001     	
          38   446.60000348444441     	
          39   1263.9877510400001     	
          40   1263.9877510400001     	
          41   446.60000348444441     	
          42   1263.9877510400001     	
          43   446.60000348444441     	
          44   446.60000348444441     	
          45   446.60000348444441     	
          46   1263.9877510400001     	
          47   446.60000348444441     	
          48   1263.9877510400001     	
          49   446.60000348444441     	
          50   1263.9877510400001     	
          51   446.60000348444441     	
          52   1263.9877510400001     	
          53   1263.9877510400001     	
          54   24760.543783040001     	
          55   446.60000348444441     	
          56   446.60000348444441     	
          57   1263.9877510400001     	
          58   1263.9877510400001     	
          59   1263.9877510400001     	
          60   1263.9877510400001     	
          61   446.60000348444441     	
          62   446.60000348444441     	
          63   1263.9877510400001     	
          64   7240.1361030400003     	
          65   1263.9877510400001     	
          66   1263.9877510400001     	
          67   446.60000348444441     	
          68   1263.9877510400001     	
          69   446.60000348444441     	
          70   446.60000348444441     	
          71   446.60000348444441     	
          72   1263.9877510400001     	
          73   1263.9877510400001     	
          74   446.60000348444441     	
          75   446.60000348444441     	
          76   1263.9877510400001     	
          77   7240.1361030400003     	
          78   7240.1361030400003     	
          79   1263.9877510400001     	
          80   446.60000348444441     	
          81   1263.9877510400001     	
          82   1263.9877510400001     	
          83   446.60000348444441     	
          84   446.60000348444441     	
          85   446.60000348444441     	
          86   1263.9877510400001     	
          87   7240.1361030400003     	
          88   1263.9877510400001     	
          89   1263.9877510400001     	
          90   1263.9877510400001     	
          91   1263.9877510400001     	
          92   446.60000348444441     	
          93   1263.9877510400001     	
          94   446.60000348444441     	
          95   446.60000348444441     	
          96   1263.9877510400001     	
          97   1263.9877510400001     	
          98   1263.9877510400001     	
          99   1263.9877510400001     	
         100   1263.9877510400001     	
 special twist angle found  0.17663645744323730      -0.26898837089538574       0.11373567581176758     	
 lowest connectivity diff squared   446.60000348444441     	
